"Number of processes";1;4;8;12;16
"Parallel fraction";99.800000
"Global efficiency";99.854063;81.122254;62.522355;46.198460;29.153419
"-- Parallelization strategy efficiency";99.854063;95.374916;91.997335;70.879208;50.787257
" -- Load balancing";100.000000;97.939492;97.405936;95.668266;94.982865
" -- In execution efficiency";99.854063;97.381469;94.447360;74.088526;53.469915
"-- Scalability for computation tasks";100.000000;85.056174;67.961050;65.179143;57.403018
" -- IPC scalability";100.000000;87.340440;73.503227;73.342872;64.750608
" -- Instruction scalability";100.000000;99.803272;99.544254;99.287662;99.032522
" -- Frequency scalability";100.000000;97.576602;92.883266;89.506681;89.518550
